# Serial gateway/OAuth/WS dispositions — 2026-09-22

Candidate: `port/inferno-selective-upstream-20260922`; protected baseline remains `7d3a6099bfa5d14d95253de7ac1864a9b330040e`.

Columns: upstream source SHA | candidate commit SHA | disposition | affected paths | evidence
source_sha	candidate_sha	disposition	affected_paths	evidence
b6740c937f007a0e103d182bc6197c31e3c3a14f		SKIP (already represented)	backend/internal/service/openai_compat_model_test.go;backend/internal/service/openai_messages_continuation.go	Continuation-unavailable recognition/replay behavior and tests already exist in the candidate; focused continuation tests pass.
196c15b5cd26436c209e50466ec1b4fe1a98f8c9		SKIP (already represented)	backend/internal/service/openai_gateway_request_body.go;backend/internal/service/openai_oauth_input_metadata_test.go	OAuth input-metadata stripping is already present; focused OAuth request-body tests pass.
7f0f579bb0a4e71c2041e9ff1fc16de4b1883fac		SKIP (already represented)	frontend/src/views/admin/AccountsView.vue;frontend/src/views/admin/__tests__/AccountsView.selectAllResults.spec.ts	Failed token-refresh selection is already present in the candidate; AccountsView select-all tests pass.
ca9b4d73f2bc680c243ee7a6da6667bd6e83a710		SKIP (already represented)	backend/internal/service/openai_ws_forwarder_ingress.go;backend/internal/service/openai_ws_forwarder_ingress_test.go;backend/internal/service/openai_ws_forwarder_payload.go;backend/internal/service/openai_ws_http_bridge.go;backend/internal/service/openai_ws_replay_allocation_test.go	Immutable WS replay-body behavior is already present; focused replay/allocation tests pass.
0e08c399994fc1934bdae20123a044b8dd0ed995		SKIP (already represented)	backend/internal/service/openai_encrypted_content_lineage.go;backend/internal/service/openai_encrypted_content_lineage_test.go;backend/internal/service/openai_gateway_forward.go;backend/internal/service/openai_ws_forwarder_ingress.go;backend/internal/service/openai_ws_forwarder_ingress_session_test.go;backend/internal/service/openai_ws_http_bridge.go;backend/internal/service/openai_ws_state_store.go	Encrypted-content lineage persistence is already present; focused lineage/WS bridge tests pass.
06b61ba96f1dffdad0e2387669f1df6cf901f7be		SKIP (already represented)	backend/internal/service/openai_ws_execution_scope.go;backend/internal/service/openai_ws_execution_scope_test.go	Execution-scope seed behavior is already present in the candidate's scope implementation and tests.
9e7c2d713c8510fe4a2147a7db424747092a8aed		SKIP (already represented)	backend/internal/service/openai_ws_session_preemption.go;backend/internal/service/openai_ws_session_preemption_test.go	Preemption-by-scope behavior is already present before the ordered scope cluster; focused preemption tests pass.
8363d537e0dd88a749e1faa7a3f47ca3b4f91cfd	4bfeeafb089f136c8bd8ac44114f2a0cab74372e	TAKE (serial failover lane)	backend/internal/handler/openai_gateway_credential_failover_test.go;backend/internal/handler/openai_gateway_handler.go;backend/internal/service/gateway_upstream_response.go;backend/internal/service/model_not_found_error_test.go;backend/internal/service/openai_access_state_failover_test.go;backend/internal/service/openai_alpha_search.go;backend/internal/service/openai_embeddings.go;backend/internal/service/openai_gateway_cc_pipeline.go;backend/internal/service/openai_gateway_forward.go;backend/internal/service/openai_gateway_service_codex_cli_only_test.go;backend/internal/service/openai_gateway_upstream_errors.go;backend/internal/service/openai_images.go;backend/internal/service/openai_images_responses.go;backend/internal/service/openai_live.go;backend/internal/service/openai_live_test.go;backend/internal/service/openai_upstream_client_error.go;backend/internal/service/openai_upstream_client_error_test.go;backend/internal/service/openai_ws_http_bridge.go;frontend/src/views/admin/AccountsView.vue;frontend/src/views/admin/__tests__/AccountsView.selectAllResults.spec.ts	Model-not-found 400s now fail over only when managed candidates exist, preserve structured client errors on exhaustion, and sanitize upstream messages. Focused classifier/eligibility/handler tests, go vet, and diff checks passed; four known baseline image-model tests were excluded from the lane regex.
b8ed24508555406a34b0bbc9c980ff158362d678	0697c857efe7dabc4e52ef93f05731f9c0acbe86	TAKE (serial WS recovery lane)	backend/internal/service/openai_ws_v2/passthrough_relay.go;backend/internal/service/openai_ws_v2/passthrough_relay_test.go;backend/internal/service/openai_ws_v2_passthrough_adapter.go;backend/internal/service/openai_ws_v2_passthrough_lifecycle_test.go	Later-turn quota exhaustion reconnects without losing downstream turn accounting. Relay/lifecycle tests, full openai_ws_v2 package, go vet, and diff checks passed.
96884dd1aee34c9c76dbe827476dcaa3bb83ad86	07d807db40ea82308ca9786e32001a7bc2e89f94	TAKE (ordered WS scope cluster)	backend/internal/service/openai_ws_forwarder_ingress.go;backend/internal/service/openai_ws_http_bridge_isolation_test.go;backend/internal/service/openai_ws_session_preemption.go;backend/internal/service/openai_ws_session_preemption_test.go	HTTP bridge connection state is isolated; first cluster step passed its isolation/preemption tests.
cd1ee1d1ad735888ed63ae72b21ecbe9105ec8a8	67a8f705b0e7aaffae612fab701bbd0ccf2e872c	TAKE (ordered WS scope cluster)	backend/internal/service/openai_ws_forwarder_ingress.go;backend/internal/service/openai_ws_forwarder_ingress_execution_scope_test.go	Ingress state is keyed by execution scope; execution-scope tests passed in the full cluster lane.
e4c369bd56305c9984c01cf9eb2bfb6f1cb8da1a	e73fc94ff5df15cf2dd974a1e8fae8e71fd38055	TAKE (ordered WS scope cluster)	backend/internal/service/openai_ws_execution_scope.go;backend/internal/service/openai_ws_forwarder_success_test.go;backend/internal/service/openai_ws_forwarder_v2.go;backend/internal/service/openai_ws_forwarder_v2_execution_scope_test.go	HTTP-via-WS pooled forwarding uses execution scope; focused pooled-forwarding tests passed.
d0ca057ca41add88bc9e5a496493da969816125f	f7f3479f1b3ebfa7dab01d3f4be3b058c8c55aec	TAKE (ordered WS scope cluster)	backend/internal/handler/openai_gateway_handler.go;backend/internal/service/openai_ws_forwarder_ingress.go;backend/internal/service/openai_ws_forwarder_ingress_execution_scope_test.go;backend/internal/service/openai_ws_session_preemption.go;backend/internal/service/openai_ws_session_preemption_test.go	Preemption sends a close frame before cancellation; close-order and scope tests passed.
613722eee434c0a62e9397487b3713c16362e18d	ee514e763f7069c170764a238e29728029e57689	TAKE (ordered WS scope cluster)	backend/internal/service/openai_gateway_forward.go;backend/internal/service/openai_ws_execution_scope.go;backend/internal/service/openai_ws_forwarder_v2.go;backend/internal/service/openai_ws_forwarder_v2_execution_scope_test.go	HTTP forwarding derives execution scope from the original request; original-identity tests passed.
4543ddc5c172b3d5f72d35de1c357a886b55526c	eb6008f240aae9d7178202cf5c3df4859456f7da	TAKE (ordered WS scope cluster)	backend/internal/service/openai_ws_execution_scope.go;backend/internal/service/openai_ws_execution_scope_test.go;backend/internal/service/openai_ws_session_preemption.go;backend/internal/service/openai_ws_session_preemption_test.go	Execution lanes separate by request_kind while preserving same-scope preemption. Scope/preemption tests, full service targeted suite, openai_ws_v2 package, go vet, and diff checks passed.
2da31290a1bcbf68fbf49c8f13b4c3ddb3d29d1e	b090e2aff4e5d8c4267f0466eda7fab646bf6a0b	TAKE (serial cyber-policy WS lane)	backend/internal/handler/openai_gateway_cyber_test.go;backend/internal/handler/openai_gateway_handler.go;backend/internal/service/openai_cyber_policy.go;backend/internal/service/openai_ws_forwarder_ingress.go;backend/internal/service/openai_ws_forwarder_v2.go;backend/internal/service/openai_ws_forwarder_v2_test.go;backend/internal/service/openai_ws_http_bridge.go;backend/internal/service/openai_ws_http_bridge_test.go;backend/internal/service/openai_ws_ingress_capacity_shed_test.go;backend/internal/service/openai_ws_v2_passthrough_adapter.go	Marks cyber-policy hits for error and response.failed event shapes before early returns across ingress, V2, HTTP bridge, and passthrough paths; preserves the recorded guard during account failover. Focused handler/service Cyber/OpenAIWS/HTTPBridge/Passthrough tests passed; go vet and git diff --check passed.
