# June Inferno frontend dispositions — 2026-09-22

Lane: `lane/june-inferno-frontend-20260922`; base `7f840c188d99b03c5583236807197dfce1779c5d`; candidate `port/inferno-selective-upstream-20260922`.
The original June rows below are limited to `inferno-frontend/**`; shared frontend, backend, API/type, design-system, lockfile, and generated paths were not changed by that lane. The redemption-history, Select, and DateRangePicker rows record later bounded cross-surface dispositions.

Columns: upstream source SHA | candidate commit SHA | disposition | affected paths | evidence
source_sha	candidate_sha	disposition	affected_paths	evidence
1a32b91eb21c022fb8a02bc35bdf707211fcf462	de9df9d0e	TAKE	inferno-frontend/src/components/common/Pagination.vue;inferno-frontend/src/components/common/__tests__/Pagination.jump.spec.ts;	June focused Vitest, vue-tsc, build, and diff checks passed in isolated lane
130ba634adbd16aca2303945f0a8fdcbbfef235f	de9df9d0e	TAKE	inferno-frontend/src/composables/useClipboard.ts;inferno-frontend/src/composables/__tests__/useClipboard.spec.ts;	June focused Vitest, vue-tsc, build, and diff checks passed in isolated lane
98321a054ed41c65058966d1d7d705d93dfe902e	de9df9d0e	TAKE	inferno-frontend/src/components/payment/AmountInput.vue;inferno-frontend/src/components/payment/__tests__/AmountInput.spec.ts;	June focused Vitest, vue-tsc, build, and diff checks passed in isolated lane
f8e5a0d94f811fad399d02bdd97aeefc7dc1a284	de9df9d0e	TAKE	inferno-frontend/src/components/admin/channel/ModelTagInput.vue;inferno-frontend/src/components/admin/channel/__tests__/ModelTagInput.keyboard.spec.ts;	June focused Vitest, vue-tsc, build, and diff checks passed in isolated lane
406be7c51888cf8067eb9ceb30dfd340d7eef51b	e67948d39	TAKE	inferno-frontend/src/stores/subscriptions.ts;inferno-frontend/src/stores/__tests__/subscriptions.clear.spec.ts;	June focused Vitest, vue-tsc, build, and diff checks passed in isolated lane
6a4938bdfb23606a0d319205ca54cd9a357e5cc0	e67948d39	TAKE	inferno-frontend/src/stores/announcements.ts;inferno-frontend/src/stores/__tests__/announcements.markAll.spec.ts;	June focused Vitest, vue-tsc, build, and diff checks passed in isolated lane
21532add46331a54d03493871abafc6c9662f309	e67948d39	TAKE	inferno-frontend/src/views/admin/order/OrderList.vue;	June focused Vitest, vue-tsc, build, and diff checks passed in isolated lane
b9d0728687ba815b44f9297c87285cc163d5a335	e67948d39	TAKE	inferno-frontend/src/views/model-plaza/ModelPlaza.vue;	June focused Vitest, vue-tsc, build, and diff checks passed in isolated lane
d03c42d7986cad7170d9e4751852287e84ec3374	e67948d39	TAKE	inferno-frontend/src/views/auth/RegisterView.vue;	June focused Vitest, vue-tsc, build, and diff checks passed in isolated lane
6c8ad0bd4a05914065c4cd22800e6624eac32b73	e67948d39	TAKE	inferno-frontend/src/views/auth/RegisterView.vue;inferno-frontend/src/views/auth/__tests__/RegisterView.spec.ts;	June focused Vitest, vue-tsc, build, and diff checks passed in isolated lane
a16070ccf62200674d51ad2fb3ae58ba50b013d3	32a9c0ddb	TAKE	inferno-frontend/src/components/TurnstileWidget.vue;inferno-frontend/src/components/__tests__/TurnstileWidget.spec.ts;	June focused Vitest, ESLint, vue-tsc, build, and diff checks passed in isolated lane
a9ed2189895fa89c7760701a6d7d63622ab63d3f	d48ee03b0bc5f37e66a2ebd3a491252355548218	TAKE (June adapter)	inferno-frontend/src/api/redeem.ts;inferno-frontend/src/api/__tests__/redeem.spec.ts;inferno-frontend/src/i18n/locales/en/dashboard.ts;inferno-frontend/src/i18n/locales/zh/dashboard.ts;inferno-frontend/src/views/user/RedeemView.vue;inferno-frontend/src/views/user/__tests__/RedeemView.pagination.spec.ts	June view uses its existing native Pagination component and design-system styling; API/view tests passed 4/4, vue-tsc and focused ESLint passed. No design-system tokens, dependencies, or generated files changed; production build remains in the final serial gate.
a985de062c9860dae83cc865c3c3836f59a95333	9de6bf46c6edfdb144304c5ae455224cab8532b5	TAKE (June adapter)	inferno-frontend/src/components/common/Select.vue;inferno-frontend/src/components/common/__tests__/Select.keyboard.spec.ts	Applied upstream focus behavior while retaining June listbox markup and design tokens. June focused Vitest passed 17/17; changed-file ESLint, vue-tsc --noEmit, production build, and git diff --check passed. No design-system or generated files changed.
0e1329b52088b809b351509e482ad1cc69b3b9bb	9de6bf46c6edfdb144304c5ae455224cab8532b5	TAKE (June adapter)	inferno-frontend/src/components/common/Select.vue;inferno-frontend/src/components/common/__tests__/Select.searchHighlight.spec.ts	Applied the open-dropdown highlight reset while retaining June markup and tokens. June focused Vitest passed 17/17; changed-file ESLint, vue-tsc --noEmit, production build, and git diff --check passed. No design-system or generated files changed.
